1,4,9,4,1,3,4,0,10,5
2,2,8,3,3,6,5,1,400,3
3,3,3,1,8,9,1,0,20,2
4,1,1,4,1,1,4,0,1000,1
5,2,3,6,3,2,4,0,2,3
6,5,5,1,2,3,1,0,3,2
7,5,7,2,9,1,9,0,4,8
8,3,8,3,1,4,8,0,50,7
9,1,9,5,4,4,9,0,60,1
10,2,1,6,5,4,10,0,70,6
11,3,7,7,1,5,8,1,80,1
12,1,6,8,2,6,2,1,90,2
13,2,1,5,3,2,4,2,10,3
14,6,2,3,1,3,3,0,20,6
15,1,3,1,5,6,1,0,30,7
16,4,9,4,1,3,7,0,10,5
17,2,8,3,3,6,8,1,400,3
18,3,3,1,8,9,4,0,20,2
19,1,1,4,1,1,3,0,1000,1
20,2,3,6,3,2,2,0,2,3
1,4,9,4,1,3,4,0,10,5
2,2,8,3,3,6,5,1,400,3
3,3,3,1,8,9,1,0,20,2
4,1,1,4,1,1,4,0,1000,1
5,2,3,6,3,2,4,0,2,3
6,5,5,1,2,3,1,0,3,2
7,5,7,2,9,1,9,0,4,8
8,3,8,3,1,4,8,0,50,7
9,1,9,5,4,4,9,0,60,1
10,2,1,6,5,4,10,0,70,6
11,3,7,7,1,5,8,1,80,1
12,1,6,8,2,6,2,1,90,2
13,2,1,5,3,2,4,2,10,3
14,6,2,3,1,3,3,0,20,6
15,1,3,1,5,6,1,0,30,7
16,4,9,4,1,3,7,0,10,5
17,2,8,3,3,6,8,1,400,3
18,3,3,1,8,9,4,0,20,2
19,1,1,4,1,1,3,0,1000,1
20,2,3,6,3,2,2,0,2,3
1,4,9,4,1,3,4,0,10,5
2,2,8,3,3,6,5,1,400,3
3,3,3,1,8,9,1,0,20,2
4,1,1,4,1,1,4,0,1000,1
5,2,3,6,3,2,4,0,2,3
6,5,5,1,2,3,1,0,3,2
7,5,7,2,9,1,9,0,4,8
8,3,8,3,1,4,8,0,50,7
9,1,9,5,4,4,9,0,60,1
10,2,1,6,5,4,10,0,70,6
11,3,7,7,1,5,8,1,80,1
12,1,6,8,2,6,2,1,90,2
13,2,1,5,3,2,4,2,10,3
14,6,2,3,1,3,3,0,20,6
15,1,3,1,5,6,1,0,30,7
16,4,9,4,1,3,7,0,10,5
17,2,8,3,3,6,8,1,400,3
18,3,3,1,8,9,4,0,20,2
19,1,1,4,1,1,3,0,1000,1
20,2,3,6,3,2,2,0,2,3
1,4,9,4,1,3,4,0,10,5
2,2,8,3,3,6,5,1,400,3
3,3,3,1,8,9,1,0,20,2
4,1,1,4,1,1,4,0,1000,1
5,2,3,6,3,2,4,0,2,3
6,5,5,1,2,3,1,0,3,2
7,5,7,2,9,1,9,0,4,8
8,3,8,3,1,4,8,0,50,7
9,1,9,5,4,4,9,0,60,1
10,2,1,6,5,4,10,0,70,6
11,3,7,7,1,5,8,1,80,1
12,1,6,8,2,6,2,1,90,2
13,2,1,5,3,2,4,2,10,3
14,6,2,3,1,3,3,0,20,6
15,1,3,1,5,6,1,0,30,7
16,4,9,4,1,3,7,0,10,5
17,2,8,3,3,6,8,1,400,3
18,3,3,1,8,9,4,0,20,2
19,1,1,4,1,1,3,0,1000,1
20,2,3,6,3,2,2,0,2,3
